P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29
3581,1700,993,1538,808,1485,1437,900,971,2443,3735,1423,1309,2513,1415,1933,2548,1133,1155,931,914,1542,1661
3559,1647,953,1538,791,1489,1401,883,927,2421,3717,1406,1309,2513,1406,1902,2522,1138,1111,936,874,1538,1683
3568,1661,958,1516,808,1467,1415,896,927,2447,3730,1450,1322,2456,1397,1911,2553,1089,1164,975,896,1516,1713
3559,1674,979,1564,804,1489,1397,905,922,2430,3744,1437,1331,2452,1423,1924,2553,1142,1129,922,900,1538,1683
3656,1647,988,1485,799,1472,1388,848,936,2425,3730,1423,1322,2434,1419,1916,2557,1133,1142,922,909,1516,1665
3682,1687,993,1542,843,1458,1445,856,936,2447,3665,1445,1322,2504,1397,1937,2553,1129,1120,953,918,1538,1669
3643,1661,1041,1529,808,1476,1432,852,922,2412,3700,1419,1309,2465,1397,1924,2544,1129,1120,949,914,1529,1669
3665,1652,975,1538,821,1489,1397,905,927,2425,3752,1463,1335,2438,1415,1929,2579,1173,1151,931,878,1542,1656
3621,1630,966,1546,817,1476,1415,852,927,2399,3779,1428,1344,2465,1401,1907,2518,1129,1129,966,914,1520,1665
3590,1674,984,1516,786,1428,1437,861,949,2430,3774,1406,1318,2487,1437,1894,2557,1142,1072,962,909,1533,1674
3621,1669,993,1551,826,1463,1419,865,979,2399,3770,1441,1291,2482,1388,1898,2548,1133,1129,971,878,1538,1705
3607,1674,984,1524,799,1485,1401,883,922,2403,3774,1454,1313,2443,1419,1911,2575,1142,1129,975,909,1520,1665
3577,1687,993,1529,861,1498,1467,892,936,2456,3748,1494,1278,2452,1419,1933,2614,1129,1129,984,909,1533,1639
3590,1617,988,1555,786,1458,1423,870,940,2412,3730,1432,1300,2460,1410,1911,2601,1111,1155,953,909,1564,1656
3607,1634,984,1520,826,1472,1388,896,944,2412,3726,1450,1313,2465,1384,1946,2579,1111,1129,936,914,1560,1669
3524,1674,1006,1538,817,1485,1419,848,953,2456,3713,1441,1322,2518,1406,1907,2636,1129,1111,966,922,1529,1661
3568,1639,1023,1555,808,1472,1397,861,909,2460,3739,1432,1300,2469,1423,1916,2570,1151,1168,940,900,1542,1674
3590,1678,1006,1507,812,1498,1428,870,927,2447,3735,1406,1305,2460,1401,1955,2627,1111,1146,949,909,1542,1691
3568,1674,979,1516,821,1476,1375,839,927,2447,3730,1401,1371,2509,1393,1920,2667,1129,1111,975,922,1516,1696
3568,1634,979,1524,804,1498,1393,878,944,2456,3752,1498,1327,2447,1393,1911,2597,1103,1125,958,922,1494,1691
3541,1678,997,1511,812,1485,1410,852,927,2430,3730,1445,1318,2496,1419,1880,2619,1164,1125,953,918,1542,1678
3577,1665,966,1507,830,1467,1406,909,896,2474,3752,1419,1305,2491,1410,1902,2597,1111,1129,962,931,1542,1683
3555,1639,1015,1582,830,1476,1366,852,931,2443,3757,1463,1313,2504,1393,1920,2627,1120,1138,958,905,1520,1665
3546,1656,1019,1538,804,1476,1441,870,883,2399,3739,1445,1305,2496,1401,1916,2671,1168,1129,918,887,1511,1687
3506,1625,1006,1520,826,1480,1393,856,922,2452,3717,1437,1270,2482,1379,1916,2632,1129,1160,931,887,1546,1674
3537,1656,997,1516,799,1489,1437,905,944,2438,3748,1441,1327,2478,1410,1937,2610,1164,1116,940,949,1542,1652
3484,1665,993,1560,795,1450,1415,821,936,2399,3722,1432,1296,2474,1410,1946,2671,1120,1146,984,936,1520,1709
3511,1647,1006,1538,821,1502,1437,852,944,2452,3735,1406,1313,2469,1393,1902,2649,1160,1129,971,927,1555,1665
3489,1678,984,1542,839,1485,1428,883,958,2412,3695,1445,1278,2482,1388,1911,2645,1125,1116,940,949,1520,1683
3533,1661,1023,1529,786,1480,1397,896,936,2430,3717,1419,1322,2460,1437,1951,2636,1125,1129,966,909,1555,1705
3476,1656,1001,1538,812,1472,1410,874,918,2434,3713,1445,1313,2509,1401,1937,2623,1116,1168,944,914,1542,1656
3454,1674,997,1551,812,1467,1441,878,914,2456,3735,1423,1278,2456,1388,1933,2636,1098,1146,971,861,1520,1643
3506,1665,1028,1542,769,1476,1349,905,900,2430,3691,1463,1283,2465,1423,1845,2649,1129,1089,931,887,1542,1647
3467,1656,997,1542,830,1472,1428,843,949,2403,3708,1432,1313,2478,1393,1885,2671,1133,1138,971,892,1524,1669
3396,1647,1019,1533,821,1529,1397,896,922,2421,3700,1437,1296,2500,1388,1946,2623,1138,1133,936,909,1538,1643
3498,1669,958,1529,804,1502,1419,856,936,2395,3687,1450,1283,2434,1388,1942,2605,1138,1103,944,949,1533,1683
