P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31
29460,6380,2157,1630,852,1291,707,1353,1458,865,883,1933,3221,29447,29399,29443,29408,29386,1366,1160,1775,1379,2175,3023,1217,1208,993,971,1401,1560,29395,29452
29438,6394,2157,1647,856,1283,729,1322,1432,887,900,1920,3216,29443,29403,29386,29412,29386,1322,1138,1753,1406,2140,3058,1221,1204,958,975,1467,1590,29377,29412
29434,6380,2153,1647,834,1349,725,1322,1415,887,865,1902,3229,29469,29447,29408,29460,29430,1357,1142,1766,1401,2144,3049,1221,1199,984,993,1397,1538,29430,29438
29482,6416,2157,1683,870,1313,711,1322,1428,865,874,1924,3247,29465,29381,29408,29425,29403,1327,1182,1801,1379,2148,3027,1221,1221,1006,962,1401,1560,29395,29430
29452,6394,2153,1665,883,1283,703,1318,1415,856,843,1946,3221,29447,29412,29447,29434,29434,1344,1151,1762,1357,2148,3045,1230,1208,988,927,1393,1582,29456,29487
29443,6398,2210,1643,874,1313,703,1327,1415,852,870,1937,3229,29438,29421,29395,29395,29416,1344,1160,1753,1397,2175,3032,1199,1199,979,962,1441,1608,29403,29456
29474,6385,2179,1665,870,1313,760,1335,1445,874,878,1889,3256,29504,29447,29381,29386,29421,1327,1173,1762,1406,2148,3036,1252,1230,1015,962,1437,1542,29416,29438
29478,6402,2166,1639,887,1335,720,1322,1441,852,848,1872,3212,29465,29412,29430,29408,29452,1340,1182,1788,1401,2175,3032,1230,1208,1019,984,1419,1546,29460,29482
29460,6372,2131,1647,852,1362,707,1340,1397,834,878,1929,3221,29465,29412,29434,29386,29430,1340,1177,1784,1397,2140,3005,1226,1212,1006,988,1432,1555,29399,29438
29430,6354,2184,1656,865,1331,716,1327,1401,874,834,1933,3225,29496,29408,29438,29408,29399,1331,1138,1784,1397,2179,3036,1230,1204,984,979,1410,1542,29425,29456
29421,6407,2153,1656,843,1300,760,1305,1410,878,856,1942,3168,29425,29408,29412,29403,29430,1366,1168,1779,1388,2148,3032,1239,1190,1019,975,1428,1608,29443,29434
29469,6407,2162,1652,870,1318,694,1335,1432,870,883,1907,3216,29443,29443,29460,29412,29465,1322,1160,1749,1384,2157,3058,1221,1182,975,936,1419,1586,29425,29460
29412,6394,2144,1661,861,1331,720,1287,1450,887,848,1933,3247,29438,29430,29438,29425,29443,1322,1190,1740,1397,2157,3045,1243,1212,993,966,1410,1555,29465,29430
29518,6394,2201,1656,856,1327,720,1331,1423,826,861,1942,3221,29474,29399,29460,29430,29456,1327,1168,1819,1397,2122,3071,1239,1226,1006,958,1437,1564,29478,29509
29443,6394,2175,1656,848,1283,729,1291,1432,878,874,1911,3247,29452,29399,29425,29430,29408,1340,1155,1766,1366,2166,3005,1239,1256,997,944,1432,1560,29421,29452
29276,6411,2188,1630,856,1305,703,1305,1441,870,874,1924,3203,29430,29438,29500,29522,29447,1357,1177,1753,1344,2148,3010,1217,1190,993,949,1485,1568,29236,29399
